DocumentId,PartnerId,DocumentDate,City,Sales
759634,8992,1/17/2022,BISTRITA,"1,177"
759648,8540,1/17/2022,CLUJ NAPOCA,0
759650,4518,1/17/2022,TARGU JIU,"1,091"
759657,667,1/17/2022,BRASOV,534
759661,7021,1/17/2022,BECLEAN,741
759674,7632,1/17/2022,SUCEAVA,494
759676,8456,1/17/2022,SINAIA,"1,165"
759687,9676,1/17/2022,MOLDOVA NOUA,"2,856"
759693,11444,1/17/2022,DROBETA TURNU SEVERIN,897
759695,316,1/17/2022,TIMISOARA,419
759697,11173,1/17/2022,TIMISOARA,475
759701,11901,1/17/2022,TIMISOARA,94
759705,633,1/17/2022,BARLAD,457
759709,10761,1/17/2022,GIROC,"1,201"
759713,10577,1/17/2022,OVESELU,534
759720,8042,1/17/2022,TIMISOARA,321
759724,650,1/17/2022,PETROSANI,"2,637"
759729,5820,1/17/2022,BUCURESTI SECTORUL 5,390
759736,1098,1/17/2022,BUCURESTI SECTORUL 6,"1,200"
759739,1186,1/17/2022,SFÂNTU GHEORGHE,91
759744,6050,1/17/2022,ODORHEIU SECUIESC,591
759746,492,1/17/2022,BRASOV,503
759750,257,1/17/2022,ODORHEIU SECUIESC,220
759752,1049,1/17/2022,ZETEA,351
759754,4518,1/17/2022,TARGU JIU,"1,006"
759756,1141,1/17/2022,GHIRODA,103
759758,977,1/17/2022,VARSAG,623
759760,10696,1/17/2022,SANNICOLAU MARE,775
759762,9214,1/17/2022,ODORHEIU SECUIESC,743
759799,11119,1/17/2022,ARAD,91
759803,113,1/17/2022,DEJ,"5,569"
759808,11605,1/17/2022,SANCRAIENI,766
759811,11813,1/17/2022,IASI,154
759815,6789,1/17/2022,SAVADISLA,415
759817,775,1/17/2022,CLUJ-NAPOCA,492
759825,5902,1/17/2022,VLAHA,"1,839"
759832,12127,1/17/2022,VISEU DE SUS,343
759833,10961,1/17/2022,BACIU,176
759845,8655,1/17/2022,MIERCUREA CIUC,125
759847,4596,1/17/2022,ODORHEIU SECUIESC,"1,105"
759849,10899,1/17/2022,TARGU MURES,267
759851,10899,1/17/2022,TARGU MURES,491
759861,1106,1/18/2022,SUCEAVA,826
759863,8923,1/18/2022,TARGU FRUMOS,204
759903,10226,1/18/2022,DEJ,208
759910,6108,1/18/2022,IASI,130
759913,12128,1/18/2022,BOTOSANI,266
759958,1098,1/18/2022,BUCURESTI SECTORUL 3,655
760117,8565,1/19/2022,PLOIESTI,119
760181,12131,1/20/2022,SATU MARE,569
760229,780,1/20/2022,OTOPENI,203
760232,9080,1/20/2022,ZABALA,267
760233,1098,1/20/2022,BUCURESTI SECTORUL 3,"1,161"
760236,10504,1/20/2022,CODLEA,530
760240,11191,1/20/2022,BRASOV,171
760241,1853,1/20/2022,BRASOV,801
760251,11349,1/20/2022,MIERCUREA NIRAJULUI,572
760270,11931,1/20/2022,BRASOV,301
760278,11867,1/20/2022,BRASOV,336
760283,8565,1/20/2022,PLOIESTI,293
760290,10874,1/20/2022,SIGHETU MARMATIEI,639
760293,698,1/20/2022,TARGU-MURES,788
760300,5871,1/20/2022,CLUJ NAPOCA,686
760311,6050,1/20/2022,TARGU MURES,301
760348,8198,1/20/2022,BACAU,522
760352,1199,1/20/2022,TIMISOARA,154
760354,11966,1/20/2022,BACAU,246
760361,11832,1/20/2022,BRASOV,133
760363,11601,1/20/2022,IASI,128
760365,9080,1/20/2022,ZABALA,188
760371,8198,1/20/2022,BACAU,94
760374,6250,1/20/2022,BRASOV,325
760379,10802,1/20/2022,ROMAN,295
760386,11532,1/20/2022,COMANESTI,93
760393,11255,1/20/2022,HARLAU,294
760396,8655,1/20/2022,MIERCUREA CIUC,650
760404,11945,1/20/2022,BUCURESTI SECTORUL 2,172
760410,8655,1/20/2022,MIERCUREA CIUC,"1,754"
760413,7826,1/20/2022,SFÂNTU GHEORGHE,188
760425,11255,1/20/2022,HARLAU,796
