PartnerId,Purchase Frequency,DocumentDate,Sales,Date,RecencyScore,SalesScore,FrequencyScore,Total
723.0,26.0,2022-12-27,7921.0,1,99.16897506925207,6.976346398201544,6.25,37.46510715581787
6573.0,26.0,2022-12-27,7769.0,1,99.16897506925207,6.852539667025055,6.25,37.423838245425706
9694.0,26.0,2022-12-27,7768.0,1,99.16897506925207,6.851725149056788,6.25,37.42356673943629
8923.0,25.0,2022-12-23,7739.0,1,98.06094182825484,6.828104127977063,6.0,36.96301531874397
698.0,25.0,2022-12-23,7696.0,1,98.06094182825484,6.793079855341609,6.0,36.95134056119881
9759.0,25.0,2022-12-23,7686.0,1,98.06094182825484,6.784934675658945,6.0,36.9486255013046
11572.0,24.0,2022-12-23,7667.0,1,98.06094182825484,6.769458834261884,5.75,36.86013355417224
1023.0,24.0,2022-12-23,7611.0,1,98.06094182825484,6.723845828038967,5.75,36.8449292187646
202.0,24.0,2022-12-23,7581.0,1,98.06094182825484,6.6994102889909755,5.75,36.83678403908194
257.0,24.0,2022-12-22,7537.0,1,97.78393351800554,6.663571498387253,5.75,36.73250167213093
5871.0,24.0,2022-12-22,7495.0,1,97.78393351800554,6.629361743720066,5.75,36.7210984205752
8730.0,24.0,2022-12-22,7468.0,1,97.78393351800554,6.607369758576874,5.75,36.713767758860804
9541.0,24.0,2022-12-22,7435.0,1,97.78393351800554,6.580490665624083,5.75,36.704808061209874
5056.0,23.0,2022-12-22,7361.0,1,97.78393351800554,6.520216335972371,5.5,36.601383284659306
5394.0,23.0,2022-12-22,7324.0,1,97.78393351800554,6.490079171146515,5.5,36.591337563050686
11195.0,23.0,2022-12-22,7321.0,1,97.78393351800554,6.4876356172417164,5.5,36.59052304508242
12411.0,23.0,2022-12-22,7306.0,1,97.78393351800554,6.475417847717721,5.5,36.586450455241085
484.0,23.0,2022-12-22,7192.0,1,97.78393351800554,6.3825627993353535,5.5,36.55549877244696
633.0,23.0,2022-12-22,7186.0,1,97.78393351800554,6.377675691525756,5.5,36.55386973651043
8565.0,23.0,2022-12-22,7181.0,1,97.78393351800554,6.373603101684424,5.5,36.55251220656332
10550.0,22.0,2022-12-22,7131.0,1,97.78393351800554,6.332877203271105,5.25,36.455603573758886
7779.0,22.0,2022-12-22,7102.0,1,97.78393351800554,6.309256182191379,5.25,36.44772990006564
10387.0,21.0,2022-12-22,7048.0,1,97.78393351800554,6.265272211904994,5.0,36.34973524330351
11159.0,21.0,2022-12-22,7037.0,1,97.78393351800554,6.2563125142540645,5.0,36.34674867741987
6011.0,21.0,2022-12-22,6921.0,1,97.78393351800554,6.161828429935165,5.0,36.3152539826469
10594.0,21.0,2022-12-22,6913.0,1,97.78393351800554,6.155312286189033,5.0,36.31308193473152
10504.0,21.0,2022-12-22,6897.0,1,97.78393351800554,6.142279998696771,5.0,36.30873783890077
11797.0,21.0,2022-12-22,6863.0,1,97.78393351800554,6.114586387775715,5.0,36.29950663526042
10112.0,21.0,2022-12-22,6779.0,1,97.78393351800554,6.046166878441339,5.0,36.27670013214896
6387.0,21.0,2022-12-22,6768.0,1,97.78393351800554,6.037207180790408,5.0,36.273713566265315
6588.0,20.0,2022-12-22,6752.0,1,97.78393351800554,6.024174893298146,4.75,36.18603613710123
9879.0,20.0,2022-12-22,6729.0,1,97.78393351800554,6.005440980028019,4.75,36.17979149934452
8448.0,20.0,2022-12-22,6678.0,1,97.78393351800554,5.963900563646434,4.75,36.16594469388399
615.0,20.0,2022-12-22,6624.0,1,97.78393351800554,5.91991659336005,4.75,36.1512833704552
12085.0,20.0,2022-12-22,6623.0,1,97.78393351800554,5.919102075391783,4.75,36.15101186446577
5902.0,20.0,2022-12-22,6618.0,1,97.78393351800554,5.915029485550451,4.75,36.149654334518665
10776.0,20.0,2022-12-22,6518.0,1,97.78393351800554,5.833577688723813,4.75,36.12250373557645
12424.0,20.0,2022-12-22,6486.0,1,97.78393351800554,5.807513113739289,4.75,36.113815543914946
12229.0,20.0,2022-12-22,6483.0,1,97.78393351800554,5.80506955983449,4.75,36.11300102594668
11517.0,20.0,2022-12-22,6462.0,1,97.78393351800554,5.7879646825008955,4.75,36.10729940016881
10756.0,19.0,2022-12-21,6414.0,1,97.50692520775624,5.74886782002411,4.5,35.91859767592678
10769.0,19.0,2022-12-21,6389.0,1,97.50692520775624,5.72850487081745,4.5,35.911810026191226
9934.0,19.0,2022-12-21,6363.0,1,97.50692520775624,5.707327403642524,4.5,35.90475087046625
6437.0,19.0,2022-12-21,6333.0,1,97.50692520775624,5.682891864594533,4.5,35.896605690783595
7998.0,19.0,2022-12-21,6328.0,1,97.50692520775624,5.678819274753201,4.5,35.89524816083648
12467.0,19.0,2022-12-21,6187.0,1,97.50692520775624,5.563972241227642,4.5,35.856965816327964
10711.0,19.0,2022-12-21,6176.0,1,97.50692520775624,5.555012543576711,4.5,35.85397925044432
8198.0,19.0,2022-12-21,6123.0,1,97.50692520775624,5.511843091258593,4.5,35.839589433004946
1038.0,19.0,2022-12-21,6077.0,1,97.50692520775624,5.47437526471834,4.5,35.82710015749152
708.0,19.0,2022-12-21,6029.0,1,97.50692520775624,5.435278402241553,4.5,35.81406786999926
12277.0,18.0,2022-12-21,6009.0,1,97.50692520775624,5.418988042876226,4.25,35.725304416877485
10427.0,18.0,2022-12-21,5995.0,1,97.50692520775624,5.407584791320497,4.25,35.72150333302558
7161.0,18.0,2022-12-21,5970.0,1,97.50692520775624,5.387221842113838,4.25,35.714715683290024
10949.0,18.0,2022-12-21,5966.0,1,97.50692520775624,5.383963770240772,4.25,35.713629659332334
10761.0,18.0,2022-12-21,5920.0,1,97.50692520775624,5.346495943700518,4.25,35.70114038381892
12316.0,17.0,2022-12-21,5911.0,1,97.50692520775624,5.33916528198612,4.0,35.61536349658079
9652.0,17.0,2022-12-21,5910.0,1,97.50692520775624,5.3383507640178545,4.0,35.61509199059137
12355.0,17.0,2022-12-21,5903.0,1,97.50692520775624,5.332649138239989,4.0,35.61319144866541
12165.0,17.0,2022-12-21,5874.0,1,97.50692520775624,5.309028117160264,4.0,35.60531777497217
5987.0,17.0,2022-12-21,5792.0,1,97.50692520775624,5.242237643762421,4.0,35.58305428383955
1049.0,17.0,2022-12-21,5787.0,1,97.50692520775624,5.238165053921089,4.0,35.581696753892444
11010.0,17.0,2022-12-21,5708.0,1,97.50692520775624,5.173818134428045,4.0,35.5602477807281
11071.0,17.0,2022-12-21,5699.0,1,97.50692520775624,5.166487472713648,4.0,35.55780422682329
11999.0,17.0,2022-12-21,5634.0,1,97.50692520775624,5.1135438047763335,4.0,35.54015633751086
10132.0,16.0,2022-12-21,5577.0,1,97.50692520775624,5.067116280585149,3.75,35.44134716278047
9034.0,16.0,2022-12-21,5567.0,1,97.50692520775624,5.058971100902486,3.75,35.43863210288624
8231.0,16.0,2022-12-21,5539.0,1,97.50692520775624,5.036164597791027,3.75,35.43102993518242
11801.0,16.0,2022-12-21,5525.0,1,97.50692520775624,5.024761346235298,3.75,35.42722885133051
12027.0,16.0,2022-12-20,5500.0,1,97.22991689750693,5.0043983970286385,3.75,35.32810509817852
143.0,16.0,2022-12-20,5346.0,1,97.22991689750693,4.878962629915616,3.75,35.286293175807515
11361.0,16.0,2022-12-20,5313.0,1,97.22991689750693,4.852083536962826,3.75,35.277333478156585
697.0,16.0,2022-12-20,5246.0,1,97.22991689750693,4.797510833088977,3.75,35.2591425768653
603.0,16.0,2022-12-20,5240.0,1,97.22991689750693,4.7926237252793795,3.75,35.25751354092877
10637.0,16.0,2022-12-20,5211.0,1,97.22991689750693,4.7690027041996546,3.75,35.24963986723552
